"G","R","variance","beta","alpha","c1","c2","total_cost"
5,399,0.934457447552672,1,0,10,5,10000
5,199,0.934457447552672,1,0,10,5,5000
5,132,0.934457447552672,1,0,10,5,3325
5,99,0.934457447552672,1,0,10,5,2500
5,79,0.934457447552672,1,0,10,5,2000
5,65,0.934457447552672,1,0,10,5,1650
5,56,0.934457447552672,1,0,10,5,1425
5,49,0.934457447552672,1,0,10,5,1250
5,43,0.934457447552672,1,0,10,5,1100
5,39,0.934457447552672,1,0,10,5,1000
5,35,0.934457447552672,1,0,10,5,900
5,32,0.934457447552672,1,0,10,5,825
5,29,0.934457447552672,1,0,10,5,750
5,27,0.934457447552672,1,0,10,5,700
5,25,0.934457447552672,1,0,10,5,650
5,24,0.934457447552672,1,0,10,5,625
5,22,0.934457447552672,1,0,10,5,575
5,21,0.934457447552672,1,0,10,5,550
5,20,0.934457447552672,1,0,10,5,525
5,19,0.934457447552672,1,0,10,5,500
10,399,0.521149447342964,1,0,10,5,20000
10,199,0.521149447342964,1,0,10,5,10000
10,132,0.521149447342964,1,0,10,5,6650
10,99,0.521149447342964,1,0,10,5,5000
10,79,0.521149447342964,1,0,10,5,4000
10,65,0.521149447342964,1,0,10,5,3300
10,56,0.521149447342964,1,0,10,5,2850
10,49,0.521149447342964,1,0,10,5,2500
10,43,0.521149447342964,1,0,10,5,2200
10,39,0.521149447342964,1,0,10,5,2000
10,35,0.521149447342964,1,0,10,5,1800
10,32,0.521149447342964,1,0,10,5,1650
10,29,0.521149447342964,1,0,10,5,1500
10,27,0.521149447342964,1,0,10,5,1400
10,25,0.521149447342964,1,0,10,5,1300
10,24,0.521149447342964,1,0,10,5,1250
10,22,0.521149447342964,1,0,10,5,1150
10,21,0.521149447342964,1,0,10,5,1100
10,20,0.521149447342964,1,0,10,5,1050
10,19,0.521149447342964,1,0,10,5,1000
15,399,0.318729754666314,1,0,10,5,30000
15,199,0.318729754666314,1,0,10,5,15000
15,132,0.318729754666314,1,0,10,5,9975
15,99,0.318729754666314,1,0,10,5,7500
15,79,0.318729754666314,1,0,10,5,6000
15,65,0.318729754666314,1,0,10,5,4950
15,56,0.318729754666314,1,0,10,5,4275
15,49,0.318729754666314,1,0,10,5,3750
15,43,0.318729754666314,1,0,10,5,3300
15,39,0.318729754666314,1,0,10,5,3000
15,35,0.318729754666314,1,0,10,5,2700
15,32,0.318729754666314,1,0,10,5,2475
15,29,0.318729754666314,1,0,10,5,2250
15,27,0.318729754666314,1,0,10,5,2100
15,25,0.318729754666314,1,0,10,5,1950
15,24,0.318729754666314,1,0,10,5,1875
15,22,0.318729754666314,1,0,10,5,1725
15,21,0.318729754666314,1,0,10,5,1650
15,20,0.318729754666314,1,0,10,5,1575
15,19,0.318729754666314,1,0,10,5,1500
20,399,0.205807037767577,1,0,10,5,40000
20,199,0.205807037767577,1,0,10,5,20000
20,132,0.205807037767577,1,0,10,5,13300
20,99,0.205807037767577,1,0,10,5,10000
20,79,0.205807037767577,1,0,10,5,8000
20,65,0.205807037767577,1,0,10,5,6600
20,56,0.205807037767577,1,0,10,5,5700
20,49,0.205807037767577,1,0,10,5,5000
20,43,0.205807037767577,1,0,10,5,4400
20,39,0.205807037767577,1,0,10,5,4000
20,35,0.205807037767577,1,0,10,5,3600
20,32,0.205807037767577,1,0,10,5,3300
20,29,0.205807037767577,1,0,10,5,3000
20,27,0.205807037767577,1,0,10,5,2800
20,25,0.205807037767577,1,0,10,5,2600
20,24,0.205807037767577,1,0,10,5,2500
20,22,0.205807037767577,1,0,10,5,2300
20,21,0.205807037767577,1,0,10,5,2200
20,20,0.205807037767577,1,0,10,5,2100
20,19,0.205807037767577,1,0,10,5,2000
25,399,0.182653566991176,1,0,10,5,50000
25,199,0.182653566991176,1,0,10,5,25000
25,132,0.182653566991176,1,0,10,5,16625
25,99,0.182653566991176,1,0,10,5,12500
25,79,0.182653566991176,1,0,10,5,10000
25,65,0.182653566991176,1,0,10,5,8250
25,56,0.182653566991176,1,0,10,5,7125
25,49,0.182653566991176,1,0,10,5,6250
25,43,0.182653566991176,1,0,10,5,5500
25,39,0.182653566991176,1,0,10,5,5000
25,35,0.182653566991176,1,0,10,5,4500
25,32,0.182653566991176,1,0,10,5,4125
25,29,0.182653566991176,1,0,10,5,3750
25,27,0.182653566991176,1,0,10,5,3500
25,25,0.182653566991176,1,0,10,5,3250
25,24,0.182653566991176,1,0,10,5,3125
25,22,0.182653566991176,1,0,10,5,2875
25,21,0.182653566991176,1,0,10,5,2750
25,20,0.182653566991176,1,0,10,5,2625
25,19,0.182653566991176,1,0,10,5,2500
30,399,0.120316198119603,1,0,10,5,60000
30,199,0.120316198119603,1,0,10,5,30000
30,132,0.120316198119603,1,0,10,5,19950
30,99,0.120316198119603,1,0,10,5,15000
30,79,0.120316198119603,1,0,10,5,12000
30,65,0.120316198119603,1,0,10,5,9900
30,56,0.120316198119603,1,0,10,5,8550
30,49,0.120316198119603,1,0,10,5,7500
30,43,0.120316198119603,1,0,10,5,6600
30,39,0.120316198119603,1,0,10,5,6000
30,35,0.120316198119603,1,0,10,5,5400
30,32,0.120316198119603,1,0,10,5,4950
30,29,0.120316198119603,1,0,10,5,4500
30,27,0.120316198119603,1,0,10,5,4200
30,25,0.120316198119603,1,0,10,5,3900
30,24,0.120316198119603,1,0,10,5,3750
30,22,0.120316198119603,1,0,10,5,3450
30,21,0.120316198119603,1,0,10,5,3300
30,20,0.120316198119603,1,0,10,5,3150
30,19,0.120316198119603,1,0,10,5,3000
35,399,0.101566854435134,1,0,10,5,70000
35,199,0.101566854435134,1,0,10,5,35000
35,132,0.101566854435134,1,0,10,5,23275
35,99,0.101566854435134,1,0,10,5,17500
35,79,0.101566854435134,1,0,10,5,14000
35,65,0.101566854435134,1,0,10,5,11550
35,56,0.101566854435134,1,0,10,5,9975
35,49,0.101566854435134,1,0,10,5,8750
35,43,0.101566854435134,1,0,10,5,7700
35,39,0.101566854435134,1,0,10,5,7000
35,35,0.101566854435134,1,0,10,5,6300
35,32,0.101566854435134,1,0,10,5,5775
35,29,0.101566854435134,1,0,10,5,5250
35,27,0.101566854435134,1,0,10,5,4900
35,25,0.101566854435134,1,0,10,5,4550
35,24,0.101566854435134,1,0,10,5,4375
35,22,0.101566854435134,1,0,10,5,4025
