"G","R","variance","beta","alpha","c1","c2","total_cost","cost_efficiency","icc","B","gamma2","sigma2","precision"
5,399,0.934457447552672,1,0,10,5,10000,0.000107013968653038,0.178888930642023,10000,1,1,1.07013968653038
5,199,1.02310940011833,1,0,10,5,5000,0.000195482516314353,0.363841411416268,10000,1,1,0.977412581571764
5,132,1.00060215903861,1,0,10,5,3325,0.000300570888222163,0.533045674757954,10000,1,1,0.999398203338691
5,99,0.817407478412923,1,0,10,5,2500,0.000489352019113697,0.504681832030912,10000,1,1,1.22338004778424
5,79,0.957070830862723,1,0,10,5,2000,0.000522427373060038,0.450789892607348,10000,1,1,1.04485474612008
5,65,0.927634824692798,1,0,10,5,1650,0.000653339643928648,0.101464032029943,10000,1,1,1.07801041248227
5,56,1.07281504835918,1,0,10,5,1425,0.000654124293873592,0.594993217980627,10000,1,1,0.932127118769868
5,49,0.895407947809637,1,0,10,5,1250,0.000893447508431185,0.445011636082139,10000,1,1,1.11680938553898
5,43,0.817552349550502,1,0,10,5,1100,0.0011119666032282,0.190627092141682,10000,1,1,1.22316326355102
5,39,1.10602377989437,1,0,10,5,1000,0.000904139692272715,0.394096375597223,10000,1,1,0.904139692272715
5,35,0.991644944199161,1,0,10,5,900,0.00112047272323708,0.288245502074595,10000,1,1,1.00842545091337
5,32,0.853339779256113,1,0,10,5,825,0.00142044381568367,0.74976862391781,10000,1,1,1.17186614793903
5,29,1.04521009358037,1,0,10,5,750,0.00127566059830708,0.634585758149201,10000,1,1,0.956745448730307
5,27,0.941646351455389,1,0,10,5,700,0.00151709973321031,0.312416561767348,10000,1,1,1.06196981324721
5,25,1.02891847727944,1,0,10,5,650,0.0014952219951666,0.481898806073455,10000,1,1,0.97189429685829
5,24,1.10243138493758,1,0,10,5,625,0.00145133749080501,0.323108841583113,10000,1,1,0.907085931753129
5,22,0.789736880782412,1,0,10,5,575,0.00220216438804227,0.326372916629271,10000,1,1,1.2662445231243
5,21,1.09290161628754,1,0,10,5,550,0.00166362808059336,0.326556621608902,10000,1,1,0.914995444326349
5,20,0.889329343891598,1,0,10,5,525,0.00214179585756936,0,10000,1,1,1.12444282522392
5,19,1.18371259534716,1,0,10,5,500,0.00168959932323221,0.595890991490062,10000,1,1,0.844799661616105
10,199,0.45892528078229,1,0,10,5,10000,0.000217900395091634,0.42810224654536,10000,1,1,2.17900395091634
10,132,0.406869145363269,1,0,10,5,6650,0.000369592881552526,0.637136637328789,10000,1,1,2.4577926623243
10,99,0.465860767309982,1,0,10,5,5000,0.000429312820555505,0.499279113503254,10000,1,1,2.14656410277752
10,79,0.577778713861614,1,0,10,5,4000,0.000432691606669121,0.467366717280927,10000,1,1,1.73076642667648
10,65,0.454689000450869,1,0,10,5,3300,0.000666456199137913,0.553605859971864,10000,1,1,2.19930545715511
